NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION NO SITIOS,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
Carulla 85 - somos.70veces7,Bogotá,Bogotá D.C.,Ac 85 #15-23,"1. Medicamentos y Material Médico · Losartan · Amlodipino · Dexametasona · Amoxicilina · Acetaminofén · Aspirina · Naproxeno · Atorvastatina · Lidocaína · Insulina · Antiinflamatorios · Gasas,…",SIN DATO,viernes 14 5pm a 9pm · Y lunes 17 de 3pm a 8pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.669805,-74.055748
CASA AZUL,Bogotá,Bogotá D.C.,CARRERA 20 #45A- 33,SIN DATO,10:00 AM,7:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.634274,-74.072564
CASA DE LA MEMORIA USAQUÉN,Bogotá,Bogotá D.C.,CALLE 161a #7 F 55,"No se necesita agua · Se siguen recibiendo donaciones de mercado e implementos de aseo personal de todo tipo 🛒: · Herramientas de mano, botas de trabajo, linternas, pilas, cascos, guantes de carnaza,…",8:00 AM,1:00 PM,SIN DATO,NO,SIN DATO,3108514846,agosto 14,SIN DATO,4.737135,-74.025925
CASA MAFAPO,Bogotá,Bogotá D.C.,Cra 21 #58-56,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.646343,-74.070996
CASA PCN,Bogotá,Bogotá D.C.,Cl. 12d #1a-10,"Hoy hasta las 6pm y mañana de 9am-6pm · NECESITAN · Bolsa industrial paquetes de 10 · Gotas para los ojos hidratantes y antibióticas · Loratadina, cetirizina, gasa, micropore, vendas, isodine,…",9:00 AM,6:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,,
C.C. Gran Estación,Bogotá,Bogotá D.C.,"Calle 26 #62-47, Bogotá D.C",SIN DATO,SIN DATO,Viernes 14 DE 7:00PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL,4.645470,-74.103370
CC PLAZA IMPERIAL - SUBA,Bogotá,Bogotá D.C.,Cra. 104 #148 - 07,SIN DATO,8:00 AM,22:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL,4.748592,-74.095368
Colombia cuida a Colombia,Bogotá,Bogotá D.C.,Carrera 15 # 82-81,SIN DATO,SIN DATO,18:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN,4.668272,-74.056012
COMPENSAR CRA 60,Bogotá,Bogotá D.C.,Carrera 60 #66 B - 05,"🧼 Kits de aseo para adultos, niños y bebés · 👶 Pañales y pañitos húmedos · 🥫 Alimentos no perecederos · 🐶🐱 Comida para animales · 📦 Si pueden, por favor lleven las donaciones en cajas para facilitar…",SIN DATO,18:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,PRIVADO,4.66829,-74.084358
CRIC,Bogotá,Bogotá D.C.,Calle 12f #2-75,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.600135,-74.068649
EDUCAMBIO,Bogotá,Bogotá D.C.,"Casa 54, 79B-40",SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,,
ESCUELA DE CABALLERÍA,Bogotá,Bogotá D.C.,CRA 7 # 106-10,Hasta las 8pm,SIN DATO,hasta las 10:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,EJÉRCITO,4.493725,-74.115885
