zz,pp,censo,n_mesas,cam_turnout,briceno,uscategui,cote,mosquera,lorduy,gordillo,juvinao,toro,bleidy,borda,pacto_list,cd,verde,liberal,salvacion,sen_pacto,sen_cd,sen_alianza,sen_ahora,sen_salvacion,sen_liberal,pres_turnout,cepeda,abelardo,m_cam,m_pres
03,15,473,2,174,19,5,2,0,0,0,0,0,1,0,60,51,10,5,2,41,30,8,3,1,8,228,87,94,2,2
03,16,2965,9,1078,65,11,6,8,4,6,13,11,28,33,310,210,61,61,86,324,177,134,56,88,74,1694,777,680,9,9
03,17,404,2,260,16,1,0,2,0,1,6,6,1,2,108,34,31,6,8,110,27,39,16,10,19,432,253,70,2,2
03,18,3965,12,2084,57,7,20,15,6,12,15,25,32,28,926,246,140,117,94,948,184,233,134,92,156,3254,1972,744,12,13
03,19,4447,14,2476,152,14,17,14,5,15,54,49,28,32,861,354,218,97,85,878,287,375,262,94,177,3590,1832,829,14,14
03,20,1034,4,495,24,4,5,2,2,1,8,6,17,11,153,77,33,47,26,183,80,69,22,20,59,736,360,253,4,4
03,21,4338,13,2641,236,20,11,11,13,10,68,74,17,31,858,494,309,87,104,813,438,437,269,121,148,2915,1368,755,13,11
03,22,1249,4,623,31,5,2,9,11,4,12,2,11,4,214,96,52,35,26,215,88,86,39,26,46,1032,532,291,4,5
03,23,3949,12,1987,106,7,16,10,11,6,39,30,35,20,653,287,141,144,70,678,223,259,187,67,222,2877,1494,752,12,12
03,24,210,1,82,2,0,0,0,0,0,0,0,0,0,46,6,5,3,0,45,4,7,3,0,7,267,183,32,1,2
04,01,5170,16,1941,44,10,10,19,2,13,17,8,21,33,877,213,145,86,87,892,150,211,97,86,132,2593,1588,524,16,15
